"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GRB14",1.61830626444141,8.38971912318164,5.3055268817365,7.77907610769193e-05,0.0206267775750284,1.76916422852478
"IRX1",2.02772385913476,7.50827070564355,5.23656627189341,8.89907698000083e-05,0.02233151464617,1.64500795757581
"CMKLR1",-1.98853042666016,8.44579725279102,-5.23414553694246,8.94129168467598e-05,0.02233151464617,1.64063738594648
"TMEM121",-1.00215956848633,9.2320289827666,-5.17126477725373,9.20217274848253e-05,0.0225375327089952,1.60329429335277
"TG",-1.13318033016016,7.65842018572852,-5.16924931889524,9.48504520999823e-05,0.0225375327089952,1.57830154038438
"ANKH",-1.03761292374219,9.78908690344922,-4.94653412152476,0.000144675784802225,0.0278070786548064,1.18441297684939
"PRPH2",1.80743904189844,8.296393748,4.95253671039522,0.000155813156557956,0.0286745412221342,1.12670616070129
"MSX2P1",1.08389586811523,6.90681741327246,4.89238789169257,0.000175649682278894,0.0295277249546336,1.01557906613776
"PDLIM3",-1.06636243951953,8.39407918444727,-4.77965425077247,0.000205296797862711,0.0317628665224229,0.861138103563317
"RGS2",-1.25042195478906,8.54343204350391,-4.73434885463183,0.000233462967262586,0.033732504600428,0.746837190167928
"ATP1A3",2.39619354719141,9.17425676891992,4.74108574706828,0.000237866263504641,0.0338098852426963,0.734072828470413
"SULF1",-2.10051538878907,14.8482861366211,-4.73566582657519,0.000240475033669309,0.0339050404325849,0.723938320450154
"PRUNE2",-1.28635797665039,9.22630879564355,-4.71759083033012,0.000242911249471095,0.0339745389960252,0.710790262820368
"XG",-2.0062121454043,9.03002127718457,-4.71926775935607,0.0002485481254794,0.034215487226428,0.693255604909353
"GSC",1.17755374355859,8.86868528757422,4.62168998616997,0.000290914724752885,0.0364669214975069,0.540985677009377
"C3",-2.07561563785547,8.22907769281445,-4.63242770929237,0.000296180003893294,0.0364669214975069,0.530263119150576
"PTPRU",-1.47532200354297,10.1062730841113,-4.57754257325896,0.000331018088382804,0.0370973669179266,0.426824584488391
"CLIC3",-1.6516133536211,10.4194536659355,-4.53703547765362,0.000359399600937454,0.0392711451449344,0.350282030133362
"COL13A1",2.13925412417578,8.23758001402148,4.53321418263555,0.000362202427469502,0.0393315840959584,0.343052668207465
"RANBP17",-1.42700634929883,7.30481345275684,-4.50240701640499,0.0003856313687626,0.0398934510063701,0.284716617813359
"SFRP4",-2.54313649916797,8.02087906814258,-4.45064460166983,0.000428543542402581,0.0404652483217018,0.186492137264096
"RAB15",-1.07085810668945,9.51947169641894,-4.39206103948715,0.000462296054027396,0.0418773156091241,0.108573450836922
"VCAN",-1.04776892189844,13.4293704494023,-4.36247546993754,0.000485660427566488,0.0423393182682089,0.0606593343533763
"EYA4",1.20660168818359,7.08709928741992,4.3873719476047,0.000487694721591256,0.0423393182682089,0.0660870013073707
"CTHRC1",-1.40267657450391,12.3294183472441,-4.3696436388901,0.000505718066773266,0.042668008859801,0.0322867739060353
"KCTD12",-1.45397875089844,14.6144460531445,-4.31559684001713,0.000564970863697353,0.0445976893980679,-0.0709219857669021
"ISLR",-1.58027288489453,12.1396658432559,-4.30638397886554,0.00057575604770316,0.0445976893980679,-0.0885390511282047
"FAM20A",-1.84985064220312,9.63790119710156,-4.29726043883126,0.000586643462805455,0.0446727866387499,-0.105992011774947
"SLITRK4",1.21194708463867,7.02871679329199,4.28738055719999,0.000598670187364045,0.0446727866387499,-0.124899252010026
"FOXE1",-2.28029859417383,7.93522726130371,-4.20863050825524,0.000703967909509799,0.0480760584451555,-0.275868739868892
"IGF1",-1.55489280841602,7.8994517765166,-4.2020101220188,0.000713637120637751,0.0483766397309839,-0.288580993958258
"CPNE7",1.88156379679883,10.6943333370459,4.16553036856734,0.000769391262594819,0.0494531891321516,-0.358681874217817
